title,author,image_url,rating,rating_count
"Sword Catcher (Sword Catcher, #1)",Cassandra Clare,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1674841074i/36679274._SY75_.jpg,3.87,"7,409"
"Practice Makes Perfect (When in Rome, #2)",Sarah       Adams,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659979546i/61897968._SY75_.jpg,4.05,"78,921"
"Poverty, by America",Matthew Desmond,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1665696294i/61358638._SY75_.jpg,4.30,"20,468"
Thornhedge,T. Kingfisher,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1676554049i/61884932._SY75_.jpg,4.10,"12,684"
"A Fire in the Flesh (Flesh and Fire, #3)",Jennifer L. Armentrout,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681507578i/61150440._SX50_.jpg,4.12,"22,108"
"Finlay Donovan Jumps the Gun (Finlay Donovan, #3)",Elle Cosimano,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673297894i/60784612._SY75_.jpg,3.82,"43,109"
"Really Good, Actually",Monica Heisey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655905197i/60877616._SY75_.jpg,3.17,"52,081"
"The Last Chance Cowboy (Colorado Cowboys, #5)",Jody Hedlund,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1656313115i/61137200._SY75_.jpg,4.43,926
"The Chalice of the Gods (Percy Jackson and the Olympians, #6)",Rick Riordan,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677259920i/63035432._SY75_.jpg,4.42,"33,098"
"Loathe to Love You (The STEMinist Novellas, #1-3)",Ali Hazelwood,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1672774685i/59054191._SY75_.jpg,3.89,"40,836"
